Date,Media Type,Media Outlet,Title,Link,Author,Sentiment,Desktop Readership,Mobile Readership,Total Readership,Shares,Ad Equivalency,Article Impact,SEO Impact,,,,
11/6/2023,Blog,Hacker News,"Green spaces can save lives, according to urban big data",https://bioengineer.org/green-spaces-can-save-lives-according-to-urban-big-data/,by Bioengineer,neutral,984,63,1047,0,$1.97 ,Low,46,,,,
11/6/2023,News,Phys.org,"Green spaces can save lives, according to urban big data",https://phys.org/news/2023-11-green-spaces-urban-big.html,Yi Qian,neutral,923686,5361886,6285572,0,"$11,816.88 ",Medium,90,,,,
11/6/2023,News,Scienmag,"Green spaces can save lives, according to urban big data",https://scienmag.com/green-spaces-can-save-lives-according-to-urban-big-data/,Scienmag,neutral,3847,7655,11502,0,$21.62 ,Low,59,,,,
11/6/2023,News,Sky News: The Latest News from the World,"Green spaces can save lives, according to urban big data",https://skynews.icu/science/509569-green-spaces-can-save-lives-according-to-urban-big-data/,Jessica McCarthy,neutral,2005,740,2745,0,$5.16 ,Low,24,,,,
11/7/2023,News,LesActualites.news,"Les espaces verts peuvent sauver des vies, selon le big data urbain",https://lesactualites.news/technologie-et-science/les-espaces-verts-peuvent-sauver-des-vies-selon-le-big-data-urbain/,Les Actualites,neutral,4151,3409,7561,N/A,$14.21 ,Low,37,,,,
11/8/2023,News,tiempo.com,Dos nuevos estudios constatan que los espacios verdes en las ciudades salvan muchas vidas,https://www.tiempo.com/noticias/actualidad/los-espacios-verdes-pueden-salvar-muchas-vidas-lo-sabias.html,Natacha Payà,neutral,591418,4738942,5330360,0,"$10,021.08 ",Medium,73,,Spain,,
11/5/2023,News,EurekAlert!,"Green spaces can save lives, according to urb | EurekAlert!",https://www.eurekalert.org/news-releases/1007009,Credit: Yi Qian,neutral,236786,316892,553679,0,"$1,040.92 ",Medium,91,,United States,District of Columbia,Washington
,,,,,,,,,,,,,,,,,
,,,,,,,,Total,12192466,,,,,,,,
